latitud;longitud;direccion;B93;B95;B97;DIESEL;keresone;marca;
-33.542141351457516;-70.66511929035187;Avenida Libertador Bernardo O\\\\\\\'Higgins 3783, Estación Central;752.0;766.0;780.0;582.0;739.0;COPEC;
-33.52677489707974;-70.70531958465574;Gran Avenida/ Los Morros 9250, La Cisterna;780.0;810.0;838.0;582.0;657.0;SHELL;
-33.4251431;-70.64569949999998;Avenida Francisco Bilbao 960, Providencia;771.0;798.0;820.0;582.0;648.0;COPEC;
-33.45679675716567;-70.67388206720352;Recoleta 601, Recoleta;764.0;786.0;808.0;582.0;668.0;COPEC;
-33.45309764161007;-70.61914086341858;BASCUÑAN GUERRERO 568, Santiago;772.0;800.0;828.0;583.0;654.0;COPEC;
-33.46259015458454;-70.57443380355835;Avenida Irarrázaval 1102, Ñuñoa;773.0;791.0;868.0;583.0;659.0;PETROBRAS;
-33.457969341618146;-70.57245165109634;Avenida Americo Vespucio 1001, Ñuñoa;774.0;813.0;875.0;583.0;639.0;SHELL;
-33.51688246587615;-70.64597368240356;Avenida Sta.María 0888, Providencia;774.0;813.0;875.0;583.0;648.0;COPEC;
-33.59043844046308;-70.70293307304382;Avenida Lo Ovalle 669, San Miguel;787.0;822.0;856.0;583.0;654.0;PETROBRAS;
-33.56998978716342;-70.69972783327103;Freire 301, San Bernardo;767.0;780.0;799.0;583.0;652.0;TERPEL;
-33.60290949374618;-70.71418225765228;Ochagavía 13021, San Bernardo;767.0;780.0;799.0;583.0;699.0;SHELL;
-33.434404960850074;-70.65988898277283;Eyzaguirre 1278, San Bernardo;767.0;780.0;799.0;583.0;692.0;COPEC;
-33.55513795834485;-70.66943764686584;Gran Avenida J.M.Carrera 9682, El Bosque;775.0;788.0;801.0;584.0;639.0;SHELL;
-33.55321563883204;-70.67397594451904;Alejandro Guzman  91, El Bosque;780.0;810.0;842.0;584.0;650.0;SHELL;
-33.42152006506049;-70.59755444526672;Gran Avenida  10190, El Bosque;780.0;810.0;842.0;584.0;680.0;COPEC;
-33.39857502385927;-70.62781780958176;Lota 2864, Providencia;775.0;800.0;827.0;584.0;670.0;SINHEL;
-33.50498272224676;-70.56147873401642;Los Alerces 2741, Ñuñoa;772.0;789.0;839.0;585.0;630.0;SHELL;
-33.40096653471211;-70.74302673339844;Tobalaba 14007, Peñalolén;776.0;810.0;866.0;585.0;663.0;Sin Bandera;
-33.510028180795516;-70.61236560344696;BRASIL 6980, Renca;789.0;812.0;837.0;585.0;610.0;TERPEL;
-33.586143977205516;-70.6996876001358;Concha y Toro 2464, Pirque;779.0;812.0;892.0;603.0;585.0;COPEC;
-33.59477290563772;-70.70485353469849;Freire 45, San Bernardo;769.0;782.0;801.0;585.0;654.0;SHELL;
-33.58760081179996;-70.67847669124603;Avenida Freire 600, San Bernardo;769.0;782.0;801.0;585.0;680.0;Sin Bandera;
-33.591953293771475;-70.69435000419617;Padre Hurtado  13829, San Bernardo;769.0;782.0;801.0;585.0;658.0;SHELL;
-33.586085882064424;-70.69963932037354;Avenida Colón 190, San Bernardo;769.0;782.0;801.0;585.0;680.0;SHELL;
-33.44773554607255;-70.6547498703003;Clemente Diaz, Maipo 512, Buin;769.0;782.0;801.0;585.0;598.0;COPEC;
-33.41225142801083;-70.6074008345604;Avenida Santa María 740, Providencia;777.0;803.0;853.0;586.0;649.0;SHELL;
-33.50168154497223;-70.62758445739746;Avenida Presidente Allende 127, San Joaquín;773.0;812.0;867.0;586.0;681.0;SHELL;
-33.23953327947183;-70.81151962280273;Avenida Las industrias 4869, San Joaquín;781.0;812.0;850.0;586.0;656.0;Sin Bandera;
-33.383687060684636;-70.68083703517914;Independencia 4596, Conchalí;793.0;822.0;841.0;587.0;641.0;PETROBRAS;
-33.52226040722707;-70.57666003704071;Avenida Independencia 4905, Conchalí;774.0;812.0;852.0;587.0;641.0;SHELL;
-33.462454623926725;-70.5734726228726;Walker Martinez 1940, La Florida;785.0;825.0;864.0;587.0;730.0;COPEC;
-33.4458421727131;-70.62261700630188;Tobalaba 14007, Peñalolén;778.0;812.0;868.0;587.0;663.0;COPEC;
-33.4388546854669;-70.61422169208527;Salvador 1368, Providencia;775.0;793.0;863.0;587.0;652.0;PETROBRAS;
-33.36532889641687;-70.73044717311859;Bilbao 1482, Providencia;773.0;802.0;835.0;587.0;667.0;PETROBRAS;
-33.370015121173175;-70.73838114738464;O\\\'Higgins 99, Quilicura;784.0;819.0;846.0;587.0;649.0;PETROBRAS;
-33.39069690372702;-70.64217567443848;San Martín 599, Quilicura;784.0;819.0;846.0;587.0;649.0;COPEC;
-33.816667;-70.75;Recoleta 3805, Recoleta;778.0;791.0;815.0;587.0;644.0;SHELL;
-33.470150750216064;-70.64988166093826;Avenida Matta 788, Santiago;810.0;843.0;852.0;588.0;647.0;COPEC;
-33.44997352274866;-70.63110888004303;Santa Rosa 13010, La Pintana;781.0;818.0;855.0;588.0;683.0;COPEC;
-33.45530415058133;-70.58818817138672;Vicuña Maquena 654, Ñuñoa;777.0;803.0;862.0;588.0;660.0;COPEC;
-33.469486231845885;-70.62455892562866;Avenida Irarrázaval 4102, Ñuñoa;784.0;811.0;888.0;588.0;657.0;COPEC;
